fecha,localidad,pais,numero_victimas,numero_heridos,descripcion,latitude,longitude
1974-09-13,Madrid,España,13,75,"ETA hizo estallar una bomba colocada en los aseos del restaurante Rolando de Madrid, provocando una masacre que quitó la vida a 13 personas e hirió a unos 75. La banda terrorista creía que la cafetería estaría llena de policías, debido a su proximidad con la Dirección General de Seguridad. Los fallecidos fueron Antonio Alonso Palacín (empleado en una fábrica de motores), María Jesús Arcos Tirado (28 años - Telefonista), Francisca Baeza Alarcón (45 años - Maestra), Baldomero Barral Fernández (24 años - Panadero), María Josefina Pérez Martínez (21 años - Ama de casa), Gerardo García Pérez (Camarero), Francisco Gómez Vaquero (31 años - Cocinero), Antonio Lobo Aguado (Ferroviario), Manuel Llanos Gancedo (26 años - Camarero), Luis Martínez Marín (77 años - Agente comercial), Concepción Pérez Paino (65 años - Administrativa) y María Ángeles Rey Martínez (20 años - Estudiante). Félix Ayuso Pinel (57 años - Inspector de Policía) murió el 11 de enero de 1977 como consecuencia de las graves heridas. Hubo además 75 heridos.",40.4161111,-3.704166667
1974-10-29,Pasajes,España,1,0,"Dos guardias civiles dieron el alto a un sospechoso en el barrio de Trincherpe (Pasajes). El sospechoso era el miembro de ETA Ignacio Iparraguirre, quien sacó una pistola y disparó en el pecho al sargento Jerónimo Vera, a quien hirió de muerte. En el tiroteo que se desencadenó también fue herido de gravedad el terrorista Ignacio Iparraguirre, que murió días más tarde.",43.3239952,-1.9200587
1974-12-17,Mondragón,España,2,0,"Dos guardias civiles, Luis Santos Hernández (52 años - Subteniente de la Guardia civil) y Argimiro García Estévez (50 años - Guardia civil), caminaban por las calles de Mondragón tras tomar un vino en un bar. Entonces, un coche se colocó a su altura y sus ocupantes dispararon una ráfaga de ametralladora que quitó la vida a los agentes Luis Santos y Argimiro García.",43.0656783,-2.4900779
1975-03-29,San Sebastián,España,1,0,"Dos miembros de ETA lanzaron una ráfaga de metralleta sobre el subinspector de policía José Díaz Linares, de 29 años, que recibió nueve impactos de bala lo que produjo su muerte. Estaban esperándole en una furgoneta aparcada frente a su casa y, para atacarle, aprovecharon el momento en que José Díaz salió de su domicilio para coger su coche.",43.320812,-1.984447
1975-04-22,Getxo,España,1,0,"El inspector de policía José Ramón Morán, de 33 años, se dirigía a su ocupación diaria en la comisaría de Getxo cuando dos individuos salieron de un coche y le dispararon con una escopeta de caza por la espalda, produciéndole la muerte.",43.344167,-3.006389
1975-05-06,Guernica y Luno,España,1,0,"Un miembro de ETA camuflado disparó por la espalda con una metralleta al guardia civil Andrés Segovia Peralta de 40 años, cuando éste caminaba por las vías de tren de Guernica hacia el cuartel de la Guardia Civil. Los 20 impactos de bala recibidos le quitaron la vida.",43.3143628,-2.6778511
1975-05-07,Bilbao,España,1,0,"Dos miembros de ETA esperaron escondidos a que el Inspector de policía Fernando Llorente, de 51 años, volviera a su casa tras su jornada de trabajo. Al llegar éste a su portal, los terroristas le dispararon seis disparos en el cuerpo que le hirieron de muerte.",43.256963,-2.923441
1975-05-13,Guernica y Luno,España,3,0,"La Guardia Civil acudió a un supuesto piso franco de ETA en Guernica y Luno. Llamaron a la puerta del piso, en el que había un matrimonio y dos jóvenes. En el momento en que el matrimonio abría la puerta y atendía a los guardias civiles, los dos jóvenes trataron de escapar de la vivienda por la ventana. Entonces fue cuando dispararon  e hirieron de muerte al Teniente de la Guardia Civil de 48 años Domingo Sánchez. En el tiroteo que se desencadenó también murió el terrorista Jesús María Markiegui de 20 años y el matrimonio, Ignacio Garay Lejarreta de 53  y Blanca Saralegui Allende de 42 años.",43.344167,-3.006389
1975-06-05,San Sebastián,España,1,0,"Dos individuos vestidos con gabardinas en un día con buena meteorología llamaron la atención del guardia civil Higinio Martín, de 37 años, quien desenfundó su pistola y se acercó a ellos para identificarlos. Los sospechosos retrocedieron, agachándose uno y disparando al guardia civil el otro. Una de las balas rompió un cristal del que algún trozo se incrustó en el ojo de Higinio Martín, lo que aprovecharon los sospechosos para darse a la fuga de un vagón a otro. Los guardias civiles fueron a cubrir las puertas de cada uno de los extremos del tren. En esta acción salió despedido el otro guardia civil, Mariano Román Madroñal, quien al caer del tren perdió la vida de forma instantánea por un golpe en el cráneo.",43.320812,-1.984447
1975-06-06,Barcelona,España,1,0,"Un grupo de etarras entró en unas oficinas bancarias para acometer un atraco. Una empleada activó la alarma conectada a la Jefatura de la Policía y, rápidamente, una patrulla acudió al lugar del atraco. Al salir de la sucursal bancaria, los etarras se toparon con los policías y se produjo un tiroteo, resultando herido de muerte el policía Ovidio Díaz López, Cabo 1ª de la Policía Armada de 31 años. Un mes después fue detenido Jon Paredes Manot 'Txiki', acusado de participar en el tiroteo. Fue condenado a muerte y ejecutado el 27 de septiembre de 1975.",41.3974988,2.1815631
1975-07-05,Deba,España,1,0,"Dos terroristas de ETA que viajaban en un autobús entre Deba e Itziar obligaron al conductor Carlos Arguimberri Elorriaga, de 43 años, a detener el autocar a un lado de la carretera. Mientras uno le asesinó asestándole nueve balazos, el otro vigilaba a los viajeros, entre los que se encontraban un hermano y una hermana de Arguimberri.",43.294141,-2.3539311
1975-07-31,Usurbil,España,1,0,"Dos terroristas de ETA se acercaron al taxi situado en la parada de Usurbil, en el que Francisco Expósito Camini, taxista de 54 años, esperaba nuevos clientes. Le mataron disparándole a bocajarro. Huyeron en un coche que les estaba esperando y desde el que lanzaron propaganda en la que se acusaba a Expósito de ser confidente de la Guardia Civil.",43.2703088,-2.0502559
1975-08-08,Hernani,España,1,0,"Tres terroristas de ETA esperaron dentro de un automóvil a que Demetrio Lesmes Martín, guarda jurado de 54 años, terminara su jornada laboral en una fábrica y volviera a casa. Dos terroristas bajaron del coche, anduvieron hacia la altura de Lesmes y le asesinaron tras abrir fuego contra él. Era la segunda vez que atentaban contra él.",43.267549,-1.975814
1975-10-05,Oñate,España,3,2,"Un todoterreno de la Guardia Civil acudió al Santuario de Aránzazu, próximo a Oñate, para retirar una ikurriña allí desplegada (algo ilegal en la época). En el regreso al cuartel, estalló un artefacto explosivo cubierto con unos trescientos tornillos que ejercían de metralla que alcanzó de lleno al vehículo, ocupado por cinco guardias civiles, de los que fallecieron tres, Esteban Maldonado Llorente (20 años - Guardia civil), Jesús Pascual Martín Lozano (25 años - Guardia civil) y Juan Moreno Chamorro (26 años - Guardia civil), y los otros dos, Jesús Gómez Castillo (28 años - Guardia civil) y Juan García Lorente (27 años - Guardia civil), resultaron gravemente heridos.",43.0328523,-2.4137149
1975-10-12,Villarreal de Álava,España,1,0," Legutiano (Álava) El taxista Germán Aguirre Irazuegui, de 35 años, fue contratado para hacer un servicio a medianoche de Mondragón a Villarreal de Álava. Cerca de esta localidad, el taxista fue obligado a desviarse hacia un descampado junto a un embalse donde, fuera del coche, lo asesinaron de varios disparos.",42.9791587,-2.6426345
1975-10-18,Zarauz,España,1,0,"Miembros de ETA esperaron en la calle a que el guardia civil Manuel López Treviño, de 48 años, saliera del cuartel con rumbo a su domicilio. Después de seguirle un rato, los terroristas dispararon una ráfaga de metralleta de la que tres balas le alcanzaron la cabeza, quitándole la vida.",43.2834873,-2.1723467
1975-11-24,Oyarzun,España,1,0,"Antonio Echeverría Albisu,  de 33 años y edil de Oiartzun desde hacía poco más de un año, era el alcalde más joven de Guipúzcoa. A las 14.30 horas del 24 de noviembre de 1975, un desconocido de unos 25 años llamó a la puerta de su casa y, cuando un familiar abrió, dijo que tenía un encargo urgente para Antonio de parte del alcalde de Hernani. La víctima salió a la puerta y en ese momento el desconocido le disparó con una pistola a la altura del pecho. Este atentado supuso el primero de una campaña de acciones violentas contra cargos municipales y forales que se prolongó años.",43.29828,-1.86129
1976-01-17,Ordicia,España,1,2,"Un coche de la Guardia Civil que estaba de servicio en las proximidades de Ordizia divisó una ikurriña sujetada por un mástil colocado en una loma junto a la carretera. Al ir a retirarla el guardia civil Manuel Vergara, de 21 años, el mecanismo explosivo conectado al mástil explotó y lanzó su cuerpo a 17 metros de distancia. Resultaron heridos dos guradias civiles con heridas leves.",43.06376,-2.18183
1976-02-09,Galdácano,España,1,2,"El alcalde de Galdácano Victor Legorburu Ibarreche, de 63 años,  bajó de su casa a la calle, donde le esperaba una escolta de la policía municipal, para dirigirse a su trabajo. Uno de los escoltas le acompañó a pie hasta su coche, mientras el otro se quedó en el coche de la policía. Al tomar una calle, Legorburu y el escolta Francisco Ruiz se vieron sorprendidos por una ráfaga de metralleta disparada por tres individuos. Los doce balazos que impactaron en Legorburu le quitaron la vida, mientras que Ruiz quedó gravemente herido por once impactos de bala y Gerardo García Romero sufrió heridas en una mano. En el lugar se recogieron 40 casquillos de bala. Los agresores escaparon en un coche en el que les esperaba otro miembro de ETA.",43.230556,-2.845833
1976-02-10,Cizúrquil,España,1,0,"Asesinado a tiros tras ser confundido con el alcalde de Cizúrquil. Dos días después, ETA emitió un comunicado reconociendo haberse equivocado.",43.1992503,-2.0741092
1976-03-01,Lezo,España,1,0,Asesinado a tiros bajo la acusación de ser confidente de la Policía.,43.321127,-1.898775
1976-03-13,Guetaria,España,1,0,"Dos disparos en la cabeza, tras ser obligado a desviarse con su taxi a un camino alejado de la carretera.",43.303261,-2.204363
1976-03-18,San Sebastián,España,1,0,Secuestrado. Tiro en la nuca. Komando Bereziak (Comandos Especiales) de ETA (pm),43.320812,-1.984447
1976-03-30,Placencia de las Armas,España,1,0,"Disparo a bocajarro en la cabeza por parte de dos miembros de ETA, cuando se dirigía a su trabajo. Mientras huían en coche, dejaron caer una granada alemana, que no detonó por tener puesto el seguro.",43.1742777,-2.4128759
1976-04-04,Hendaya,Francia,2,0,"Disparo, tras ser secuestrados y torturados. Sus cadáveres fueron encontrados en Anglet, el 19 de 4 de 1977.",43.3641518,-1.7616499
1976-04-11,Baracaldo,España,1,0,Electrocutado cuando se disponía a retirar una ikurriña colocada sobre unos cables de tendido eléctrico.,43.29548,-2.9900933
1976-05-03,Legazpia,España,1,0,Explosión de una bomba al paso del vehículo policial en el que viajaba.,43.054361,-2.333641
1976-06-09,Basauri,España,1,0,"Asesinado a tiros cuando se dirigía al instituto, donde ejercía de profesor.",43.222177,-2.885668
1976-10-04,San Sebastián,España,5,0,"El lunes 4 de octubre de 1976, un comando de ETA-m, adiestrado en la academia de la policía argelina en Souma, asesinó en San Sebastián al presidente de la Diputación de Guipúzcoa, Juan María de Araluce, su conductor José María Elícegui y los tres policías de escolta Alfredo García González, Antonio Palomo Pérez y Luis Francisco Sanz Flores. Fue uno de los atentados más sangrientos de los años de plomo",43.320812,-1.984447
1977-03-13,Mondragón,España,1,0,"Cuatro guardias  civiles y la novia de uno de ellos abandonaban de madrugada una discoteca de  Mondragón y se disponían a volver a su puesto de Oñate. En una señal de  'Stop', el coche que iba delante del que ocupaban se detuvo y de él se  bajaron dos jóvenes con escopetas. Descargaron dos ráfagas, asesinando a  Constantino Gómez Barcia, de 21 años, e hiriendo a dos compañeros, uno de  mucha gravedad. Los heridos son Miguel Santaella Carretero (25 años - Guardia  civil) y José Castaño Vázquez (26 años - Guardia civil).",43.0656783,-2.4900779
1977-04-29,Tolosa,España,1,0,"Varios  miembros de ETA político-militar atracaron una sucursal bancaria en Tolosa,  haciéndose con un botín de 20 millones de pesetas. Tras el atraco, el guardia  civil Antonio Galán Aceituno, de 47 años, se desplazó hasta el lugar para  iniciar las diligencias correspondientes. Entonces, otro comando de ETA,  aunque esta vez de la rama militar, entró en la oficina para realizar otro  atraco. Uno de los asaltantes iba disfrazado de guardia civil, lo que  distrajo a Galán, quien pereció tras recibir los balazos de una ráfaga de  metralleta.",43.6044622,1.4442469
1977-05-18, San Sebastián,España,1,0,"Dos miembros de  ETA llegaron en un coche robado a la estación de ferrocarril de Amara, donde  penetraron y dispararon al agente de policía que allí se encontraba de  guardia, Manuel Orceda de la Cruz, de 23 años, provocando su muerte. Los  terroristas escaparon en el mismo coche en que llegaron.",43.3224219,-1.9838889
1977-05-20,Getxo y Alto de Barazar,España,1,0,"Cuatro  miembros de ETA se presentaron en la casa de Javier de Ybarra y Bergé,  industrial de 63 años, disfrazados de enfermeros. Después de reunir a todos  los familiares que se encontraban en la casa en una habitación y sacar unas  fotos, se llevaron secuestrado al industrial. Por su rescate, pedían a la  familia mil millones de pesetas para no ejecutar al rehén. La familia no pudo  reunir el dinero y el día 20 de junio, un mes después de producirse el  secuestro, Radio Popular de San Sebastián recibió un comunicado que anunciaba  la ejecución de Ybarra con un plano del lugar en el que se encontraba el  cuerpo.",43.344167,-3.006389
1977-06-27,La Puebla de Arganzón,España,1,0,"El  policía armada Valentín Godoy Cerezo, de 29 años, destinado en  Vitoria-Gasteiz, fue encontrado muerto en el interior su coche. El automóvil  se encontraba junto a la carretera N-I, tenía las luces encendidas y el  cuerpo sin vida del agente se encontraba reclinado en el asiento derecho, con  tres disparos en la cabeza realizados a corta distancia y desde atrás.",42.7666976,-2.8309644
1977-10-08,Gernika-Lumo,España,1,0,"Augusto  Unceta-Barrenechea Azpiri, de 53 años, Presidente de la Diputación vizcaína y  antiguo alcalde de Gernika, fue, como todos los sábados, al frontón de esta  localidad para jugar con unos amigos un partido de pala. Fue en su coche  acompañado por otro coche con dos guardias civiles escoltas. Al llegar a las  instalaciones y bajar del coche recibió un disparo a la cabeza primero y  después una ráfaga de metralleta. En total, 11 impactos de bala. Sus  escoltas, Antonio Hernández-Fernández Segura, de 23 años, y Ángel Antonio  Ribera navarrón trataron de alejarse de las ráfagas de balas, pero chocaron  con su coche y antes de poder defenderse fueron también ametrallados. Tras el  multitudinario funeral celebrado en Gernika, se congregó un grupo de algo más  de medio centenar de manifestantes de Fuerza Nueva que recorrieron algunas  calles del pueblo, algunos de ellos armados, gritando vivas a España, al  ejército o entonando el ""Cara al sol"".",43.3143628,-2.6778511
1977-11-02, Irún,España,1,0,"El sargento de  la Policía Municipal José DíazFernández, de 54 años, volvía a pie de su  trabajo a su domicilio para comer un bocadillo y después volver a trabajar.  Al entrar en su domicilio, tres individuos que allí le esperaban le  dispararon por la espalda causándole la muerte. Los terroristas llegaron al  lugar en un taxi robado, después de hacer rehén a su dueño y amordazarlo en  un árbol situado en un monte cercano a Irún. El taxista fue encontrado esa  misma madrugada.",43.3383176,-1.7888095
1977-11-26,Pamplona,España,1,0,"Después  de dar una vuelta con sus amigos, el comandante  de Infantería de la Policía Armada,  Joaquín Imaz, de 54 años, se dirigió hacia la plaza de toros de Pamplona para  coger su coche y volver a casa. En el lugar donde se encontraba su automóvil  le esperaban varios terroristas, que dispararon a Imaz por la espalda varios  tiros y, cuando yacía en el suelo, lo remataron con un tiro en la sien.",42.8184538,-1.6442556
1977-12-16,Irún,España,1,0,"El  concejal de Irún Julio Martínez Ezquerro, de 46 años, volvía a casa en coche  tras una reunión en el ayuntamiento. Cuando se apeó del automóvil para abrir  la puerta del garaje, varios terroristas le dispararon a quemarropa. Murió de  forma instantánea. Martínez era uno de los cuatro concejales de la  corporación irundarra que no había dimitido a causa de la situación política.",43.3383176,-1.7888095
1978-01-11, Pamplona,España,1,0,"Una brigada de  información de la policía de Pamplona había recabado pistas sobre actividades  de terroristas de ETA en Navarra. El inspector José Manuel Baena Martín  pertenecía a dicha unidad, que se dispuso a acudir a un piso en el que  sospechaban que se escondían varios terroristas. Al subir por las escaleras  del inmueble junto a otros compañeros, coincidió que varios miembros de ETA  entraron al portal y, al ver a los policías, abrieron fuego contra ellos. En  el tiroteo que se produjo fue mortalmente herido el inspector Baena. Los  disparos entre terroristas y policía continuaron en la calle, donde fueron  alcanzados también mortalmente los etarras Ceferino Sarasola de 28 años,  trabajador de una fábrica de muebles, y Joaquín Pérez de Viñaspre Churruca de  24 años, estudiante de medicina. Varios viandantes resultaron heridos y  tuvieron que ser ingresados en el hospital.",42.8184538,-1.6442556
1978-02-24,Santurce,España,1,0,"El  policía municipal Manuel Lemus Noy, de 46 años, se encontraba en una  marquesina esperando al autobús para ir a trabajar cuando fue ametrallado por  miembros de ETA que viajaban en el interior de un coche. Fue alcanzado por  dos balas, cuyas heridas terminaron quitándole la vida el día 6 de abril. En  el funeral se produjeron tensiones y enfrentamientos provocados por personas  de ultraderecha, así como varios heridos leves.",43.3287527,-3.0318766
1978-03-05,Vitoria-Gasteiz,España,1,0,"Miembros  del Comando Araba de ETA robaron un coche en el aparcamiento de un hospital y  se desplazaron hasta una zona por donde debía pasar un coche de la Policía  Nacional. A su paso, dos o tres terroristas dispararon varias ráfagas de  metralleta contra el coche. Los etarras se dieron a la fuga y abandonaron el  coche. En el ataque murieron tres policías nacionales, Joaquín Ramos Gómez  (26 años - Policía nacional), Miguel Raya Aguilar (26 años - Policía  nacional) y José Vicente del Val del Río (21 años - Policía nacional)  y otros dos fueron heridos, Armando  Doval González (21 años - Policía nacional) y Santiago del Canto de los Reyes  (24 años - Policía nacional). El copiloto resultó ileso.",42.8465088,-2.6724025
1978-03-10,Aduna,España,1,0,"El  guardia civil retirado José María Acedo Panizo, de 56 años, se encontraba  trabajando como jefe de porteros en una empresa de la localidad guipuzcoana  de Aduna cuando un terrorista de ETA se acercó a él y lo asesinó a tiros.  Acedo trató de escapar, pero el terrorista lo impidió agarrándolo y  rematándolo con un disparo en la cabeza.",43.2038168,-2.050099
1978-03-16,Galdácano,España,1,0,"Esteban  Beldarrain Madariaga, de 52 años, trabajador en un peaje de autopista, había  sido teniente alcalde de la localidad de Castillo-Elejabeitia. Llevaba  teniendo amenazas de ETA durante más de un año, a raíz de unos incidentes que  protagonizó cuando disparó con su escopeta contra una ikurriña colocada en la  plaza de Galdácano. Una noche, un comando de ETA se apoderó de un taxi y se  dirigieron al peaje donde trabajaba Beldarrain. Al llegar a su cabina le  dispararon seis balazos que le causaron la muerte.",43.2332639,-2.8453385
1978-03-17, Lemoiz,España,1,0,"Una bomba  colocada por ETA en el interior de las instalaciones de la central nuclear de  Lemoiz provocó la muerte de dos de sus empleados, Andrés Guerra Pereda, de 29  años y Alberto Negro Viguera, de 43 años. Ambos se encontraban cerca del  lugar de la explosión y sus cuerpos quedaron destrozados. Además resultaron  heridas 14 personas. Esta fue la primera acción mortal de ETA en la campaña  que llevó a cabo a lo largo de cinco años contras las instalaciones de la  central nuclear en construcción de Lemoiz y contra la empresa Iberduero. En  total, ETA realizó 246 acciones terroristas en este tiempo que dejaron cinco  empleados muertos y catorce heridos.",43.4120254,-2.9026473
1978-05-08,Pamplona,España,1,0,"Una  bomba accionada a distancia y colocada por ETA estalló al paso de un coche de  la Guardia Civil ocupado por cuatro agentes que volvían de hacer un servicio.  La explosión expandió la metralla colocada en la bomba y alcanzó a los  guardias civiles, que fueron trasladados al hospital por unos compañeros  suyos que pasaron por el lugar inmediatamente. El agente Manuel López  González, de 23 años, falleció debido a que la metralla le alcanzó la arteria  aorta. resultaron heridos Francisco López González (Guardia civil), Juan Díez  Resano (Guardia civil) y Agustín Hernández Martínez (Guardia civil).",42.8184538,-1.6442556
1978-05-09, San Sebastián,España,1,0,"Un coche de la  Guardia Civil patrullaba por los alrededores del cuartel militar de  Intxaurrondo cuando dos miembros de ETA, escondidos tras una tapia, lanzaron  varias ráfagas de metralleta contra el vehículo. Dos de los guardias civiles  consiguieron escapar hacia el cuartel, pero los otros dos perdieron la vida  como consecuencia de los disparos recibidos. Juan Marcos González de 20 años  murió en el acto. Miguel Ángel Íñigo Blanco de 24 años luchó varios días por  su vida, pero finalmente falleció el día 15, seis más  tarde del día del atentado.",43.3224219,-1.9838889
1978-05-11,Munguia,España,1,0,ETA  (p-m) secuestró al gerente de la empresa Teyca  Pedro Luis Iturregui y le abandonó a  su suerte después de dispararle en la pierna. Lo acusaba de explotar a sus  trabajadores y de permitir la entrada de la Guardia Civil en la empresa.,43.3540663,-2.8464157
1978-05-18,Pasajes,España,1,0,"Tras  robar un coche y dejar atado a un árbol a su dueño, tres miembros de ETA  esperaron al buzo que perteneció a la vieja guardia de Franco, Alfredo  Aristondo Trincado, en su domicilio y le dispararon cuatro tiros que acabaron  con su vida.",43.3239952,-1.9200587
1978-06-21, Tolosa,España,1,0,"El policía  municipal Antonio García Caballero de 26 años, vestido de civil y desarmado,  se disponía a entrar en su domicilio cuando tres individuos que lo esperaban  le dispararon 14 tiros de los que impactaron 9 contra su cuerpo,  arrebatándole la vida. Anteriormente, había recibido amenazas de muerte en  varias ocasiones.",43.6044622,1.4442469
1978-06-27,San Sebastián,España,1,0,"Un  vehículo de la policía armada se encontraba parado cuando un coche llegó a su  altura, se bajó un individuo y disparó ráfagas de metralleta contra los  policías a muy corta distancia. Como consecuencia, murió el sargento  Francisco Martín González de 32 años y fueron heridos graves sus tres  acompañantes, Francisco Sánchez Arcos (conductor del vehículo), José Grado  Carro y José Luis Gutiérrez Díaz. El coche que usaron los terroristas era un  taxi sustráido a punta de pistola y el taxista fue posteriormente atado a un  árbol.",43.3224219,-1.9838889
1978-06-28,Portugalete,España,1,0,"José  María Portell Manso, de 44 años, fue el primer periodista asesinado por ETA.  Portell fue asesinado cuando se dirigía de su domicilio al trabajo y, al  montar en el coche, dos terroristas se acercaron y le dispararon, hiriéndolo  de muerte.",43.3191292,-3.0199529
1978-07-05, Zarauz,España,1,0,"El  representante de comercio Domingo Merino Arévalo, de 28 años, fue asesinado  por seis impactos de bala que le dispararon varios miembros de ETA cuando  bajó del coche para dirigirse al hotel en el que estaba viviendo.",43.2834873,-2.1723467
1978-07-08,Lemona,España,1,0,"Javier  Jáuregui Bernaola, juez de paz de 38 años, se encontraba en el interior del  bar que regentaba en Lemona y, después de que dos miembros de ETA entraran y  le preguntaran por su identidad, le dispararon a corta distancia cinco tiros.  Jáuregui había sido varias veces amenazado por poner una bandera española en  el exterior del bar y había sido exconsejero local del Movimiento de Franco.",43.2098775,-2.7788097
1978-07-21,Madrid,España,1,0,"Dos  terroristas de ETA asesinaron al general de brigada del Ejército Juan Manuel  Sánchez-Ramos Izquierdo, de 64 años, y al teniente José Antonio Pérez  Rodríguez de 59 años, a las puertas del domicilio del primero justo en el  momento en el que habían subido al coche oficial para dirigirse a sus  despachos. Se encontraban en los asientos de atrás y, desde cada lado de las  ventanillas, los dos terroristas abrieron fuego contra ellos y escaparon en  un automóvil robado. Un sargento que vio la escena salió en persecución de  los terroristas, hiriendo a Isidro Etxabe Urrestilla de un balazo.",40.4167047,-3.7035825
1978-08-25,Vitoria-Gasteiz,España,1,0,"José  García Gastiain, comerciante jubilado de 68 añso, murió por un impacto de  bala en la cabeza. Miembros de ETA abrieron fuego con metralletas desde lejos  contra un cuartel de la Policía Armada en Vitoria y García Gastiain se vio  cruzado en la línea de fuego.",42.8465088,-2.6724025
1978-08-28, Hondarribia,España,1,0,"Miembros de ETA  político-militar asesinaron al inspector de policía Alfonso Estavas-Gilmain  Muñoz, de 41 años, en el momento en que éste aparcaba su coche cerca de la  casa de su mujer, quien, junto a uno de sus hijos, llegaba en ese momento a  casa y presenció la escena del atentado.",43.3624468,-1.7914309
